Date,Loc.,Race No.,Type,Going,Course,Purse,Place,No.,Horse,Jockey,Trainer,Act. Wt.,Decl. Horse Wt.,Draw,LBW,Running Pos.,Finish Time,Win Odds
2020/09/06,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",1,5,JOY MASTER(B222),J Moreira,C Fownes,128,1070,3,-,7 8 6 1,1:35.89,2.6
2020/09/06,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",2,11,ART OF RAW(V368),H T Mo,C W Chang,115,1085,8,3/4,2 2 1 2,1:36.03,13
2020/09/06,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",3,10,THE FULL BLOOM(V243),K C Leung,C H Yip,119,1085,1,1-1/4,5 3 3 3,1:36.07,7.3
2020/09/06,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",4,1,WHO'S HORSE(C233),K Teetan,K H Ting,133,1140,6,1-1/4,1 1 2 4,1:36.09,7.2
