horse_name,horse_url,country_of_origin,age,color,sex,import_type,season_stakes,total_stakes,no_123_starts,no_starts_in_10,stable_loc,trainer,owner,current_rating,sos_rating,sire,dam,dam_sire,retired
AURORA STEED(C023),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C023,AUS,-1,Chestnut,Gelding,PPG,,"$273,375 ",0-1-0-16,-1,,,Alexander Leung Ho Yin,25,-1,Unencumbered,Miss Meerkat,Catbird,TRUE
JIMSON THE DRAGON(C017),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C017,AUS,-1,Brown,Gelding,PPG,,"$642,325 ",0-1-3-30,-1,,,"Raymond Leung Yim San, Leung Chung Wai & Leung Chung Shun",16,-1,Smart Missile,Pyrography,Danzero,TRUE
YEE CHEONG LUCKY(B357),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B357,GB,-1,Bay,Gelding,ISG,,"$1,145,225 ",2-0-2-28,-1,,,Choi Hiu Fung,28,-1,Acclamation,Melbourne Memories,Sleeping Indian,TRUE
WONDER BRAHMA(C525),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C525,NZ,-1,,,ISG,,"$432,068 ",0-1-2-17,-1,,,Derek Tam Lap Tak,20,-1,Darci Brahma,Myback,Dubawi,TRUE
FAIRY FLOSS(C236),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C236,NZ,6,Grey,Gelding,PPG,$0 ,"$2,213,000 ",4-2-0-32,1,Hong Kong(14/02/2020),P O'Sullivan,John Tong Chor Nam & Herman Tsoi Hak Chiu,48,49,Guillotine,Hang Seng,Black Minnaloushe,FALSE
CORRE RAPIDO(A053),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A053,NZ,-1,Bay,Gelding,PPG,,"$1,784,950 ",2-2-4-40,-1,,,Kenneth Kong Siu Chee & Elaine Kong Yick Ning,17,-1,Iffraaj,Charangas,Flying Spur,TRUE
ROMAN ODYSSEY(A092),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A092,AUS,-1,Bay,Gelding,PP,,"$1,745,950 ",1-3-5-34,-1,,,Fraternity Syndicate,29,-1,Holy Roman Emperor,Rule The Waves,King's Best,TRUE
FAITHFUL TRINITY(A247),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A247,GER,7,Bay,Gelding,PP,"$239,200 ","$3,744,595 ",4-2-3-47,2,Hong Kong(19/11/2021),W Y So,Lai Wai Chi,46,48,Wiener Walzer,Saaleland,Lando,FALSE
ALL YOU KNOW(A320),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A320,IRE,7,Grey,Gelding,ISG,$0 ,"$3,366,875 ",3-4-3-44,1,Hong Kong(18/03/2017),R Gibson,Eric Ng Wing Kwong,39,45,Dark Angel,Marseille Express,Caerleon,FALSE
DAILY BEAUTY(D070),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D070,AUS,6,Bay,Gelding,PPG,"$36,400 ","$2,634,175 ",3-2-3-32,2,Hong Kong(10/11/2021),C Fownes,Peter Cheng & Jerry Cheng Chun Ho,40,54,All American,Mixed Emotions,Testa Rossa,FALSE
LADY FIRST(B013),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B013,NZ,8,Bay,Gelding,PP,"$98,800 ","$3,892,410 ",1-5-11-48,1,Hong Kong(01/12/2021),A S Cruz,HK Association of Lady Horse Lovers Syndicate,49,53,Zacinto,Avoid,Cullen,FALSE
INCANTO PREPARED(D009),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D009,NZ,6,Bay,Gelding,PPG,$0 ,"$3,840,720 ",4-2-4-25,2,Conghua(23/11/2021),J Size,Wong Poh Weng,68,71,Per Incanto,Prepared,Perfectly Ready,FALSE
BULB ELITE(A183),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A183,NZ,-1,Grey,Gelding,PP,,"$1,712,780 ",1-2-3-37,-1,,,Alfred Chong Kin Ngai & Jack Chong Chun Kit,34,-1,Iffraaj,Miranda Miss,Reset,TRUE
ANONYMA(C496),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C496,SAF,7,Brown,Gelding,PP,"$136,500 ","$502,705 ",0-1-2-25,0,Hong Kong(18/05/2019),D E Ferraris,Ewo Syndicate,26,30,Silvano,Nothing But Silk,Belong To Me,FALSE
TIGER GLARE(D290),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D290,NZ,-1,Bay,Gelding,PPG,,"$45,000 ",0-0-0-10,-1,,,Kao Chan Ming Man & Michael C C Kao,31,-1,Darci Brahma,Chevremont,No Excuse Needed,TRUE
EVEN KEEL(C442),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C442,IRE,5,Chestnut,Gelding,PP,"$136,500 ","$444,000 ",0-1-1-26,1,Hong Kong(17/03/2019),A T Millard,Chan Oi Yi,21,25,Born To Sea,Dew,Whipper,FALSE
